18776133-17	In the current study, we found that treatment of peripheral blood mononuclear cells with combination <mark style="background-color:lightgreen;" id="O62641,O77620,O97513,P04351,P05016,P17108,P19114,P26891,P36835,P37997,P46649,P51747,P60568,P60569,P68290,P68291,Q07885,Q08081,Q08867,Q1WM29,Q25BC3,Q29416,Q29615,Q2PE47,Q2PE78,Q4U313,Q5MBA8,Q5PXD0,Q7JFM2,Q7JFM3,Q7JFM4,Q7JFM5,Q865X2,Q865Y1,Q8MKH2,Q95KP3,Q9XS38,Q9XT83,Q9XT84">IL-2</mark> / <mark style="background-color:lightgreen;" id="O77762,P05112,P07750,P20096,P30367,P30368,P42202,P46652,P47966,P51492,P51744,P55030,P79155,P79339,Q04745,Q2PE74,Q3S4V6,Q58M18,Q60440,Q7YS71,Q865X5,Q865Y0,Q8HYB1,Q9MZR8,Q9XS58">IL-4</mark> for 48 hours, but not with <mark style="background-color:lightgreen;" id="O62641,O77620,O97513,P04351,P05016,P17108,P19114,P26891,P36835,P37997,P46649,P51747,P60568,P60569,P68290,P68291,Q07885,Q08081,Q08867,Q1WM29,Q25BC3,Q29416,Q29615,Q2PE47,Q2PE78,Q4U313,Q5MBA8,Q5PXD0,Q7JFM2,Q7JFM3,Q7JFM4,Q7JFM5,Q865X2,Q865Y1,Q8MKH2,Q95KP3,Q9XS38,Q9XT83,Q9XT84">IL-2</mark> or <mark style="background-color:lightgreen;" id="O77762,P05112,P07750,P20096,P30367,P30368,P42202,P46652,P47966,P51492,P51744,P55030,P79155,P79339,Q04745,Q2PE74,Q3S4V6,Q58M18,Q60440,Q7YS71,Q865X5,Q865Y0,Q8HYB1,Q9MZR8,Q9XS58">IL-4</mark> alone, abrogated <mark style="background-color:lightblue;" id="5743">dexamethasone</mark> ( <mark style="background-color:lightgreen;" id="P48845">DEX</mark> )-induced <mark style="background-color:lightgreen;" id="O13186,O46567,O73673,P04150,P06536,P06537,P35547,P49115,P49843,P49844,P59667,P79269,P79686,Q5R9P5,Q6XLJ0,Q95267,Q9N1U3">glucocorticoid receptor</mark> (GCR)-alpha nuclear translocation in both <mark style="background-color:lightgreen;" id="P01730,P05542,P16003,P16004,P33705,P46630,P79184,P79185,Q08336,Q08338,Q08339,Q08340,Q29037,Q9XS78">CD4</mark> (+) and CD8(+) T cells.
18726998-19	We examined <mark style="background-color:lightblue;" id="5280453">1,25 dihydroxyvitamin D</mark> (1,25(OH)(2)D(3))-induced expression of <mark style="background-color:lightblue;" id="5283731,6433735">25-hydroxyvitamin D</mark>(3) 24-hydroxylase ( <mark style="background-color:lightgreen;" id="Q07973">CYP24</mark> ) and apical calcium channel ( <mark style="background-color:lightgreen;" id="Q9H1D0">TRPV6</mark> ) mRNA levels in 2-, 9-, and 15-day cultures Caco-2 cells that model proliferating, post-proliferative, and differentiated enterocytes.
18789733-21	Decreases in <mark style="background-color:lightgreen;" id="P79122,P79149,Q5R5X0,Q9H307">PNNs</mark> , aggrecan and <mark style="background-color:lightblue;" id="24759,453618,3084050,24728612">hyaluronic acid</mark> were observed only in the terminal stages and correlated with the distribution of <mark style="background-color:lightgreen;" id="O18754,O46501,P04156,P04273,P04925,P10279,P13852,P23907,P40242,P40243,P40244,P40245,P40246,P40247,P40248,P40249,P40251,P40252,P40255,P40256,P40257,P40258,P47852,P49927,P51446,P51780,P52113,P52114,P61761,P61762,P61766,P61767,P61768,P67986,P67987,P67988,P67989,P67990,P67991,P67992,P67993,P67994,P67995,P67996,P67997,P79141,Q5UAF1,Q5UJG1,Q5UJG3,Q5UJG7,Q5UJH0,Q5UJH8,Q5UJI7,Q5XVM4,Q60468,Q60506,Q68G95,Q6EH52,Q7JIH3,Q7JIY2,Q7JK02,Q95174,Q95176,Q95211,Q95270,Q95M08,Q9Z0T3">PrP</mark> (BSE) and activated glial cells.
18789733-22	This study suggests that the loss of <mark style="background-color:lightgreen;" id="P79122,P79149,Q5R5X0,Q9H307">PNNs</mark> , aggrecan and <mark style="background-color:lightblue;" id="24759,453618,3084050,24728612">hyaluronic acid</mark> is a consequence of <mark style="background-color:lightgreen;" id="O18754,O46501,P04156,P04273,P04925,P10279,P13852,P23907,P40242,P40243,P40244,P40245,P40246,P40247,P40248,P40249,P40251,P40252,P40255,P40256,P40257,P40258,P47852,P49927,P51446,P51780,P52113,P52114,P61761,P61762,P61766,P61767,P61768,P67986,P67987,P67988,P67989,P67990,P67991,P67992,P67993,P67994,P67995,P67996,P67997,P79141,Q5UAF1,Q5UJG1,Q5UJG3,Q5UJG7,Q5UJH0,Q5UJH8,Q5UJI7,Q5XVM4,Q60468,Q60506,Q68G95,Q6EH52,Q7JIH3,Q7JIY2,Q7JK02,Q95174,Q95176,Q95211,Q95270,Q95M08,Q9Z0T3">PrP</mark> (BSE) accumulation.
18727009-26	Here, we tested the hypothesis that interactions with <mark style="background-color:lightgreen;" id="P38086">DNA-topoisomerases</mark> play a role in the DNA-damaging properties of <mark style="background-color:lightblue;" id="5359485">AOH</mark>.
18727009-27	Next, we selected <mark style="background-color:lightblue;" id="5359485">AOH</mark> as the most DNA-damaging Alternaria metabolite for further studies of interactions with <mark style="background-color:lightgreen;" id="P38086">DNA topoisomerases</mark> .
18727009-28	Stabilisation of covalent <mark style="background-color:lightgreen;" id="O29238,O51934,O58530,O67037,O67226,P74759,P95479,Q08582,Q58907,Q6F598,Q8R979,Q8ZXT5,Q971T7,Q975P6,Q97ZF5,Q97ZZ8,Q9UZ86,Q9YC75,Q9YCB6">topoisomerase</mark> II-DNA intermediates by <mark style="background-color:lightblue;" id="5359485">AOH</mark> was also detectable in cell culture, and here, the IIalpha isoform was preferentially targeted.
18776170-42	Linear regression analyses showed that <mark style="background-color:lightblue;" id="304,5997,6432564,11025495">cholesterol</mark> and phospholipid efflux and cellular <mark style="background-color:lightgreen;" id="O18759,O42175,O42296,O42363,P02647,P02648,P04639,P08250,P09809,P15497,P18647,P18648,P27007,P32918,P68292,P68293,Q00623,Q91488,Q9Z2L4">apoA-I</mark>  <mark style="background-color:yellow;" id="GO:0005488,molecular_function">binding</mark> correlated significantly with the ability of <mark style="background-color:lightgreen;" id="O95477">ABCA1</mark> to form <mark style="background-color:yellow;" id="GO:0009928,GO:0009986,cellular_component">cell surface</mark> lipid domains.
18776171-43	<mark style="background-color:lightblue;" id="5280644,5282796">Conjugated linoleic acid</mark>-mediated inflammation and <mark style="background-color:lightgreen;" id="P01314,P01316,P01319,P01320,P01324,P01328,P01330,P01331,P01334,P01336,P01340,P07453,P09476,P09477,P0C236,P12703,P12704,P12708,P13190,P18109,P29335,P42633,P67968,P67969,P67971,P67973,P67974,P68243,P68245,P68987,P68988,P68989,P68990,P68991,P68992,P69046,P69047,P69048,P81423,P81881,Q9TQY7">insulin</mark> resistance in human adipocytes are attenuated by <mark style="background-color:lightblue;" id="445154">resveratrol</mark>.
18814316-53	We report the interaction of a potent synthetic derivative of <mark style="background-color:lightblue;" id="969516">curcumin</mark>, isoxazolcurcumin (<mark style="background-color:lightblue;" id="446240">IOC</mark>) with human <mark style="background-color:lightgreen;" id="P21847,P83517">serum albumin</mark> ( <mark style="background-color:lightgreen;" id="P24807,Q07490">HSA</mark> ) using various biophysical methods.
18814316-54	The observed fluorescence quenching of <mark style="background-color:lightgreen;" id="P24807,Q07490">HSA</mark> by <mark style="background-color:lightblue;" id="446240">IOC</mark> is due to a complex formation by a static quenching process with a quenching constant of the order of 10(5) M(-1).
